#{"t_start": 1760788861.0654204, "env_id": "None"}
r,l,t
-16.72619,155,3.314465
-10.705272,39,4.193137
-12.94135,86,5.8493
-12.362203,25,6.363643
-12.643265,90,8.284739
14.448047,118,10.795219
-11.035747,8,10.949489
-13.144161,37,11.773415
-11.405911,154,14.752861
-7.629137,570,26.549561
-11.304739,7,26.680501
-13.198751,16,26.909759
-10.577543,44,27.865297
-23.282854,210,32.045657
-12.335603,13,32.269753
-11.990661,10,32.439401
-16.594135,283,37.827877
-17.632062,459,47.570818
-13.352419,72,49.119105
-12.086614,25,49.675848
-13.699958,100,51.688142
-11.223252,50,52.586161
-14.234703,263,57.846612
-12.001004,15,58.110858
-9.66344,136,61.10492
-11.953506,9,61.324607
-12.971676,43,62.206299
-13.818613,9,62.389012
-11.931016,8,62.587682
-14.166677,407,71.667835
-16.865237,505,81.685513
-11.784594,9,81.867128
-13.680213,44,82.781332
-10.981011,196,87.085424
-10.785379,151,90.303031
14.834979,122,92.366412
-11.716285,78,93.435691
-13.417161,104,95.311485
-11.839945,27,95.872711
-11.05046,17,96.104426
-10.791953,41,96.96519
-20.262198,167,100.266494
-13.172743,102,102.253787
-4.872,554,113.078746
-10.01745,27,113.619191
-11.601185,544,123.644336
-11.654831,7,123.796988
-11.316876,113,125.994055
-12.863319,176,129.324464
-10.310327,75,130.867075
-11.171665,61,132.209992
-18.031837,185,135.375803
-11.687423,318,141.12834
-11.528956,54,142.237811
-12.258414,267,147.533098
-13.343487,619,159.582993
-10.44569,81,161.091638
-10.660224,54,162.004313
-13.741199,262,167.03367
17.119873,282,172.742393
-9.461577,336,178.730184
-13.850397,54,179.791989
13.045536,67,181.013991
-16.667026,305,186.795806
-12.491468,579,196.911242
-12.988536,168,199.939178
-11.646477,143,202.337546
-11.670251,46,203.263312
-11.761218,161,206.046253
-12.87682,154,208.805558
-10.135746,164,211.912303
19.465986,251,216.261726
-7.577792,174,219.460241
-6.247071,294,224.212087
14.487406,45,225.110084
-10.713353,311,230.750021
-8.923604,508,239.068969
11.733342,41,239.775349
-11.721101,10,239.959526
-3.555598,426,246.808481
-10.276934,38,247.460099
11.624092,92,249.136341
-9.633169,766,262.684826
-9.556034,158,265.094711
-2.946149,495,273.567771
-11.593903,25,274.00033
-11.157008,103,275.757338
-9.707647,177,278.660524
-2.68617,622,289.026377
16.26093,134,291.161881
-8.182581,187,294.327676
-8.363851,263,299.006849
-11.739555,442,306.795489
-5.488927,502,315.434219
-6.191571,239,319.239041
-4.347046,299,324.374056
-13.288714,296,329.802135
-9.913153,138,332.158239
-7.062419,843,346.899859
-11.208365,17,347.236772
-12.124118,12,347.406201
-14.300858,39,348.086
-13.508425,42,348.870332
-10.899406,32,349.310829
-12.465294,36,350.014423
14.763259,164,352.994826
-15.736013,31,353.406119
-11.574193,77,354.329447
15.331404,110,356.006855
-11.23963,156,358.980867
1.182624,1691,389.210948
-8.87056,514,398.222699
-13.069049,57,399.376041
-9.639038,144,401.789406
14.533416,36,402.469615
-10.207056,228,406.289479
-12.428075,76,407.700897
-10.720879,24,408.219228
-13.149181,302,412.894188
-9.373011,538,422.911812
-5.718254,1146,442.133438
-12.140638,73,443.558402
-4.578804,513,450.687671
-8.055298,78,452.096339
-10.610543,209,455.420054
-10.546104,70,456.733907
-8.320415,115,458.858295
-9.724518,143,461.596234
14.071339,15,461.822139
22.808511,652,473.155967
-11.078147,24,473.539606
-5.648765,184,476.748221
14.77671,22,476.917725
-9.374973,112,479.037811
-11.775369,16,479.30511
25.883964,1108,498.453159
16.273894,45,499.118605
-9.06005,174,502.532269
-9.134495,1190,522.853402
17.358469,62,523.864318
-10.312475,24,524.394002
-12.225142,21,524.845891
-12.636471,87,526.395803
-7.109873,94,528.007197
-10.5676,66,529.218312
15.334207,162,532.262846
-10.186821,121,534.597505
17.85012,392,539.694444
-11.086593,16,539.989588
15.461646,148,542.438512
27.938536,525,549.930034
-9.04538,724,561.449403
-10.875238,448,569.036376
-11.189333,104,571.213572
-9.476772,543,580.950553
-2.151383,488,588.988941
20.158557,283,593.706678
14.322768,186,596.790607
17.58324,168,599.257641
14.235487,60,600.208972
-10.105317,100,601.866636
15.085209,1677,629.227204
-12.625951,51,630.12295
-12.792208,257,634.412133
14.929901,23,634.716604
-10.369568,371,640.645886
14.630864,454,647.440314
-9.42276,92,648.812062
16.253556,129,651.027268
17.053312,109,652.369443
13.417655,45,653.235164
-8.19192,186,656.105279
-11.730803,425,662.590152
