#{"t_start": 1760612182.2635891, "env_id": "None"}
r,l,t
-19.46354,103,3.641383
-48.268338,192,8.355364
12.052834,18,8.821548
-12.304955,13,9.169491
-13.733513,53,10.482324
-13.146787,17,10.916625
-25.465819,106,13.525595
-14.041653,51,14.789384
-12.982404,15,15.171563
-15.194558,56,16.558752
-13.497295,36,17.454297
-14.400391,66,19.094729
-13.1372,24,19.694066
13.036394,52,20.994724
-13.790404,35,21.887375
-13.074081,22,22.455045
-12.440403,13,22.808016
-13.49079,33,23.629324
-12.38015,30,24.396074
-14.34951,28,25.103957
-12.287855,7,25.294717
-12.903889,14,25.656037
-37.638698,116,28.52897
-15.503943,60,30.20917
-14.208692,39,31.167857
-12.987439,21,31.705065
-16.878784,61,33.290183
-12.540535,11,33.770799
-13.99591,39,34.705001
-12.786008,14,35.066694
-12.469082,16,35.47837
-12.546707,11,35.769312
-53.962574,250,42.272035
-12.547287,14,42.655957
-35.846617,153,46.487305
-13.691908,41,47.533082
-13.36748,27,48.237791
12.014928,6,48.504004
9.328923,71,50.281159
-12.270717,11,50.57505
-57.018436,248,56.822756
-13.472635,23,57.430911
-14.419652,45,58.549171
-32.305414,220,63.948054
-12.339616,9,64.20558
-12.396743,26,65.03822
-12.717542,14,65.362632
-12.148616,5,65.548424
-90.583047,330,73.951458
-13.222835,33,74.81442
-31.423548,178,79.292804
-12.273329,6,79.480822
-12.320479,7,79.91503
-13.56676,27,80.545279
-12.549971,11,80.897746
-16.459184,63,82.488551
-11.538957,16,82.898406
-12.295045,17,83.353084
-12.515437,10,83.617693
-15.816746,45,84.733033
-12.809206,14,85.155669
-14.454487,46,86.302642
-12.654267,17,86.746201
-16.740947,75,88.718636
-13.702737,26,89.434161
-23.919095,101,91.964747
-12.701792,16,92.415009
-14.427279,45,93.505684
-13.33619,49,94.693276
-15.881578,45,95.831832
-12.368171,7,96.022462
12.170876,12,96.513367
-17.158629,79,98.423541
-13.155908,22,98.978771
-13.839493,35,99.858052
-13.678943,28,100.605056
-12.774007,13,100.962784
-9.753584,237,106.779749
-12.482193,10,107.057519
-13.014598,16,107.475137
-17.476236,79,109.434193
-13.161618,18,109.889937
-23.693313,116,112.75322
-12.588267,11,113.040988
-13.069578,18,113.476589
-50.300594,132,116.708623
-17.55719,101,119.368683
-13.407338,31,120.305577
-13.240038,18,120.740382
-14.094968,33,121.563124
-12.570674,14,121.925658
-21.121343,123,124.969312
-12.734432,13,125.317832
11.965167,13,125.656824
-41.474696,222,131.152724
-13.371686,31,131.830153
-16.072014,73,133.64128
-13.318197,21,134.173048
-12.981968,30,134.971422
-13.084551,26,135.63239
-12.530481,11,135.919345
-59.77702,216,141.407134
-12.528348,12,141.680584
-13.999663,26,142.334577
-16.128424,52,143.658012
11.258843,34,144.512415
-14.643923,50,145.776021
-16.549366,83,147.887013
-16.959678,93,149.764093
-12.291584,7,149.92768
-26.819285,159,153.975232
-13.309027,33,154.854321
-12.630083,12,155.206816
-11.994795,9,155.479549
-19.073934,117,158.460764
-12.335531,9,158.710211
-14.26774,45,160.019181
-12.597654,14,160.532678
-11.764314,11,160.783844
-14.287712,45,161.927577
-12.088919,10,162.200922
-14.510624,40,163.223745
-13.482645,28,163.941211
-18.322716,80,165.943945
-14.183388,49,167.176718
-12.630445,12,167.472346
-12.744686,12,167.810394
-14.27948,56,169.205984
-18.336844,52,170.503371
-13.476546,24,171.072654
-17.416753,81,173.092486
-12.382349,10,173.360838
-13.205781,21,173.891518
-14.882147,40,174.886337
-75.109517,183,179.419569
-31.674035,232,185.14791
-22.842111,102,187.700567
-28.759485,141,191.168926
-14.617495,55,192.548556
-13.032665,19,193.033996
-12.613314,12,193.344785
-13.995389,42,194.384324
-12.479401,13,194.724779
-22.676334,104,197.30078
-12.723794,13,197.641643
-12.839838,23,198.24206
-15.369255,43,199.319086
-13.134019,25,199.97402
-14.263343,40,201.137669
-13.090959,25,201.731613
-14.654249,60,203.207567
-12.514006,12,203.517902
-15.327736,59,204.976339
-14.635704,46,206.109216
-12.442626,10,206.349686
-14.201985,42,207.383188
-13.493743,28,208.078299
-12.648391,15,208.461861
-12.819068,17,208.954071
-13.15926,24,209.624471
-12.994118,32,210.491778
-13.457221,43,211.633162
-14.896123,45,212.935684
-12.452039,9,213.1336
-13.082854,41,214.172355
-12.856701,16,214.587946
-12.982221,18,215.050195
-30.829483,137,218.622262
-12.757273,16,218.989787
-112.982704,409,229.038522
-12.929504,18,229.491753
-12.508532,10,229.758521
-12.282571,7,229.95569
-13.817116,41,230.974856
-12.974724,18,231.430474
-14.060623,53,232.752175
-14.465859,33,233.599413
-12.599655,11,233.890969
-12.392743,11,234.179015
-12.971904,22,234.736926
-13.847171,25,235.361915
-12.187495,9,235.600107
-14.130404,45,236.708284
-12.443067,9,236.948681
-16.510573,76,238.80389
-12.760178,15,239.193506
-12.974928,19,239.671631
-12.874205,14,240.035988
-21.057017,90,242.237514
-15.859547,78,244.230752
-97.332581,253,250.492253
-13.889205,40,251.349029
-14.043238,52,252.632138
-17.867982,85,254.925273
-12.92717,23,255.467113
-13.34798,16,255.884544
3.057944,119,258.813833
-13.095354,22,259.574342
-37.594149,143,263.138852
-13.681697,26,263.984611
-12.702983,11,264.239589
-13.271113,20,264.754281
11.972215,12,265.071517
-12.79703,23,265.615403
-12.207242,13,266.139646
-20.347412,102,268.604158
-13.134663,21,269.148674
10.465174,44,270.252544
-12.646312,45,271.375454
-13.461173,29,272.297167
-12.571352,25,272.852763
-15.082214,55,274.207614
-12.368614,26,274.85772
-12.327934,8,275.051427
6.588451,85,277.161453
-15.160214,56,278.538115
-12.901489,15,278.92134
11.784788,10,279.186028
-12.472975,12,279.507593
-16.025268,63,281.075105
-23.772561,94,283.412029
-12.327691,10,283.674678
-12.513412,9,283.93364
-22.662607,170,288.116512
-12.84131,11,288.407114
